HSHD_NUM,HH_KEY,ACCOUNT_KEY,HEAD_OF_HH,CITY,STATE,ZIP_CODE,AGE_RANGE
61,77322860,156819403,N,ERLANGER,KY,41018,35-44
1052,18375831,156724716,N,INDIANAPOLIS,IN,46219,NOT AVAILABLE
3496,6435308,156724729,N,LAMBERTVILLE,MI,48144,45-54
1343,73498309,156724743,N,WALTON,KY,41094,25-34
2263,78744759,156724807,N,CLEVELAND,OH,44129,NOT AVAILABLE
3875,76698059,156724862,N,LOUISVILLE,KY,40214,19-24
27,18604097,156724919,N,INDIANAPOLIS,IN,46268,75+
72,73744356,156724974,N,CINCINNATI,OH,45255,25-34
3661,171313,156725013,N,VILLA HILLS,KY,41017,55-64
1432,76632022,156724947,N,SHEPHERDSVILLE,KY,40165,35-44
675,76946564,156725137,N,ATLANTA,GA,30313,45-54
1100,74515943,156749065,N,GALLOWAY,OH,43119,55-64
1854,74707881,156748697,N,SPRING HILL,TN,37174,45-54
4779,76758783,156748693,N,MANCHESTER,MI,48158,35-44
2242,5087754,156749080,N,CARLISLE,OH,45005,65-74
1396,15804438,156748770,N,CRESTVIEW HILLS,KY,41017,NOT AVAILABLE
2839,76736127,156749223,N,COLUMBUS,OH,43215,55-64
4622,5729605,156748870,N,MONROE,OH,45050,55-64
4933,6220251,156748994,N,LOVELAND,OH,45140,NOT AVAILABLE
2146,4423007,156748996,N,BLANCHESTER,OH,45107,NOT AVAILABLE
1049,18954954,156771195,N,LOUISVILLE,KY,40245.0,25-34
2947,1263712,156771245,N,TIPP CITY,OH,45371,55-64
709,77097350,156771299,N,UNION,KY,41091,35-44
4417,4706688,156770982,N,HAMILTON,OH,45013,35-44
4739,79827937,156770963,N,FAIRBURN,GA,30213.0,35-44
847,75613214,156771336,N,HAMILTON,OH,45013,65-74
120,796405,156771359,N,CINCINNATI,OH,45248,NOT AVAILABLE
3291,16405579,156771365,N,CINCINNATI,OH,45239,65-74
1016,1247992,156771011,N,TROY,OH,45373,NOT AVAILABLE
2577,17727363,156771386,N,UNION,OH,45322,55-64
